2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-29 01:40:51 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;11.00;Buy;;;;;;;;;;;;;;
2026-04-29 01:40:51 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4521.14000;11.00;Buy;3.0579;;;;;0.00000;0.0000;0.0000;;0.7339;230.31690;;103534.46;
2026-04-29 01:58:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;7.00;Sell;;;;;;;;;;;;;;
2026-04-29 01:58:06 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4524.47000;7.00;Sell;1.7658;;;;;0.00000;0.0000;0.0000;;;0.00000;;103534.46;
2026-04-29 02:13:25 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Sell;;;;;;;;;;;;;;
2026-04-29 02:13:25 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4527.56000;9.00;Sell;2.1366;;;;;0.00000;0.0000;0.0000;;;0.00000;;103534.46;
2026-04-29 02:16:46 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Sell;;;;;;;;;;;;;;
2026-04-29 02:16:46 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4531.55000;9.00;Sell;2.8029;;;;;0.00000;0.0000;0.0000;;;0.00000;;103534.46;
2026-04-29 03:36:33 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;25.00;Buy;;;;;;;;;;;;;;
2026-04-29 03:36:33 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4551.60000;25.00;Buy;4.6319;;;;;0.00000;0.0000;0.0000;;0.7485;-439.16330;;103095.29;
2026-04-29 03:57:00 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Sell;;;;;;;;;;;;;;
